Vectorizer,precision Test,recall_test,f1_test,Jaccard Test,Fit Time,predict_time
lr_Tfidf,0.52,0.18333333333333332,0.25828571428571434,0.17666666666666664,4.10463809967041,0.05536627769470215
xgb_Tfidf,0.617,0.2803333333333333,0.36423809523809525,0.26676190476190476,21.039519786834717,0.02578592300415039
lr_w2v,0.31,0.17499999999999996,0.21371428571428577,0.14266666666666666,3.72943377494812,0.07631301879882812
lr_use,0.5503333333333333,0.324,0.38279365079365085,0.2744761904761905,3.239125967025757,0.11399602890014648
